repeat,fold,model_name,strategy,display_name,roc_auc,pr_auc,recall,precision,f1,f2,cost_per_applicant,best_f1,best_f1_threshold,n_false_negatives,n_false_positives,,,,,,,
3,1,xgboost,smote,XGBoost (SMOTE),0.741581254,0.218798238,0.010213277,0.472222222,0.019994119,0.012697938,0.80454612,0.29370471,0.184531897,3295,38,,,,,,,
3,2,logistic_regression,baseline,Logistic Regression (Baseline),0.746650496,0.230644944,0.008410934,0.509090909,0.016548463,0.010470421,0.805741183,0.29995417,0.158021137,3301,27,,,,,,,
3,2,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.747811145,0.230412204,0.680084109,0.160294534,0.259439638,0.412536443,0.54899761,0.299258229,0.68104732,1065,11860,,,,,,,
3,2,logistic_regression,smote,Logistic Regression (SMOTE),0.740143636,0.221159933,0.666266146,0.159499497,0.257383232,0.407391081,0.556021657,0.291130537,0.656131029,1111,11688,,,,,,,
3,2,random_forest,baseline,Random Forest (Baseline),0.744215015,0.238182856,0.000600781,1,0.001200841,0.000750863,0.811423833,0.302288022,0.171349978,3327,0,,,,,,,
3,2,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.746630673,0.236806008,0.627515771,0.172715998,0.270876556,0.411042462,0.546461148,0.30443293,0.630238264,1240,10006,,,,,,,
3,2,random_forest,smote,Random Forest (SMOTE),0.710383379,0.176929476,0.228296786,0.22974607,0.229019135,0.228585178,0.688698112,0.255308219,0.393330441,2569,2548,,,,,,,
3,2,xgboost,baseline,XGBoost (Baseline),0.761374064,0.254862993,0.024331631,0.609022556,0.046793761,0.030113763,0.793424711,0.310935441,0.141419321,3248,52,,,,,,,
3,2,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.759146563,0.249159906,0.647041153,0.178104845,0.279323089,0.423848878,0.528998585,0.311581174,0.638012528,1175,9940,,,,,,,
3,2,xgboost,smote,XGBoost (SMOTE),0.741250049,0.225904061,0.017422649,0.563106796,0.033799534,0.021611148,0.79886347,0.292514578,0.196452111,3271,45,,,,,,,
3,3,logistic_regression,baseline,Logistic Regression (Baseline),0.750708308,0.230243378,0.008410934,0.49122807,0.016538689,0.010468855,0.805809614,0.301951318,0.140132666,3301,29,,,,,,,
3,3,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.750869161,0.228168299,0.682787624,0.159800337,0.258987068,0.412672476,0.549035389,0.301030928,0.64204222,1056,11951,,,,,,,
3,3,logistic_regression,smote,Logistic Regression (SMOTE),0.744142852,0.222916891,0.670171223,0.160827566,0.259403523,0.410291305,0.551718251,0.295883188,0.660925329,1098,11641,,,,,,,
3,3,random_forest,baseline,Random Forest (Baseline),0.750571437,0.227884017,0.001802343,0.6,0.00359389,0.002251238,0.810565596,0.296992481,0.145322356,3323,4,,,,,,,
3,3,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.752424,0.229059104,0.626914989,0.175245613,0.273920462,0.413676908,0.542474574,0.301173139,0.599592951,1242,9822,,,,,,,
3,3,random_forest,smote,Random Forest (SMOTE),0.718635123,0.177320475,0.227395614,0.227737665,0.227566511,0.227463942,0.689910002,0.261351253,0.401983658,2572,2567,,,,,,,
3,3,xgboost,baseline,XGBoost (Baseline),0.766741791,0.251325563,0.021928507,0.561538462,0.042208731,0.02714562,0.795517183,0.323624595,0.157852978,3256,57,,,,,,,
3,3,xgboost,cost_sensitive,XGBoost (Cost-Sensitive),0.762357467,0.245605891,0.641934515,0.178649055,0.279510823,0.422699581,0.530352918,0.317980926,0.658800185,1192,9825,,,,,,,
3,3,xgboost,smote,XGBoost (SMOTE),0.748562859,0.228979417,0.016821868,0.495575221,0.032539221,0.020850398,0.799663423,0.296110414,0.175540105,3273,57,,,,,,,
3,4,logistic_regression,baseline,Logistic Regression (Baseline),0.748068486,0.225642212,0.009014423,0.46875,0.017688679,0.011214115,0.805199873,0.300021308,0.144670337,3298,34,,,,,,,
3,4,logistic_regression,cost_sensitive,Logistic Regression (Cost-Sensitive),0.748053132,0.223621877,0.676682692,0.162388232,0.261921377,0.414275202,0.545742787,0.299886563,0.649634659,1076,11616,,,,,,,
3,4,logistic_regression,smote,Logistic Regression (SMOTE),0.742480707,0.217838773,0.6640625,0.162775282,0.261461106,0.410948715,0.549913417,0.297963978,0.649489641,1118,11367,,,,,,,
3,4,random_forest,baseline,Random Forest (Baseline),0.744254128,0.230091451,0.001502404,0.833333333,0.0029994,0.001877159,0.810492427,0.296432432,0.141005223,3323,1,,,,,,,
3,4,random_forest,cost_sensitive,Random Forest (Cost-Sensitive),0.745627615,0.232265244,0.609975962,0.174219018,0.271028037,0.406585483,0.551254847,0.29916958,0.613531585,1298,9622,,,,,,,
3,4,random_forest,smote,Random Forest (SMOTE),0.716792532,0.17455443,0.214543269,0.230025773,0.222014925,0.21747076,0.695836687,0.260172626,0.393264212,2614,2390,,,,,,,
